terror,level,source,target,weight,time
aq,2,00000b55c1bcbc1f,Virtual Currency Exchange 2,0.8,2019-08-01 18:24:59
aq,2,000000392b6db0d3,Virtual Currency Exchange 2,1.662,2019-08-01 16:51:38
aq,2,8962ebc6de5d7e66,Virtual Currency Exchange 2,1.662,2019-08-01 16:51:38
aq,2,0998feee7b53dd3c,Virtual Currency Exchange 2,0.01539247,2019-08-01 18:29:34
aq,2,0b34ae3a7a081e7d,Virtual Currency Exchange 2,0.1,2019-08-01 18:13:38
aq,2,1453f5ab06d252f3,Virtual Currency Exchange 2,0.00507313,2019-08-01 14:17:39
aq,2,8f7bb343e6bc41f9,Virtual Currency Exchange 2,0.0071323,2019-08-01 17:02:49
aq,2,e48a1cf4a328aa94,Virtual Currency Exchange 2,0.001371,2019-08-01 17:09:38
aq,2,0002e827140f02f6,Virtual Currency Exchange 2,0.0136916,2019-08-01 18:10:35
aq,2,2d6e2b8fee7fa4d4,Virtual Currency Exchange 2,0.8495,2019-08-01 18:05:38
aq,2,17ab3626ab8f6de5,Virtual Currency Exchange 2,0.05309293,2019-08-01 18:57:22
aq,2,0008cc68119673d3,Virtual Currency Exchange 2,0.07,2019-08-01 18:13:38
aq,2,53639b6aba4676be,Virtual Currency Exchange 2,0.03809403,2019-08-01 18:05:38
aq,2,25538b0ec23df16e,Virtual Currency Exchange 2,1.9,2019-08-01 17:02:49
aq,2,05f5650af56d7f96,Virtual Currency Exchange 2,0.05243099,2019-08-01 18:10:35
aq,2,a55f7c6ede071eba,Virtual Currency Exchange 2,0.099,2019-08-01 17:02:49
aq,2,0116bd45d3c9debd,Virtual Currency Exchange 2,0.03027481,2019-08-01 18:13:38
aq,2,2562d14aeedca759,Virtual Currency Exchange 2,0.00289898,2019-08-01 18:10:35
aq,2,0013e9f05a0d8377,Virtual Currency Exchange 2,0.00119857,2019-08-01 17:39:48
aq,2,0008cc68119673d3,exchange1,0.014,2019-08-02 18:31:49
aq,2,00011f17cd2e1170,exchange1,0.01593701,2019-08-02 18:35:17
aq,2,0dceff14f2e532c2,exchange1,0.00880059,2019-08-01 23:59:04
aq,2,00011f17cd2e1170,exchange1,0.00333012,2019-08-02 18:35:17
aq,2,2ed59e59d3effe7d,exchange1,3.57685205,2019-08-01 18:42:23
aq,2,00011f17cd2e1170,exchange1,0.01067533,2019-08-02 18:06:46
aq,2,00011f17cd2e1170,Virtual Currency Exchange 2,0.17450135,2019-08-02 17:59:07
aq,2,0000d265cde30760,Virtual Currency Exchange 2,0.440695,2019-08-02 17:36:52
aq,2,35f5f6d043dc0772,Virtual Currency Exchange 2,0.02302146,2019-08-02 19:26:13
aq,2,29302014dd3170fa,Virtual Currency Exchange 2,0.4752065,2019-08-02 17:18:04
aq,2,0000000e379d23b0,Virtual Currency Exchange 2,0.0396086,2019-08-02 15:15:32
aq,2,8bc843e70f37aa6e,Virtual Currency Exchange 2,0.02863863,2019-08-02 17:58:26
aq,2,5f3c665959d0ecd0,Virtual Currency Exchange 2,0.36284403,2019-08-02 11:31:33
aq,2,16e2d8ea6bbf86c2,Virtual Currency Exchange 2,0.22702773,2019-08-02 19:26:13
aq,2,d8264ea857e89166,Virtual Currency Exchange 2,0.02892183,2019-08-02 18:58:49
aq,2,29170c88aa05854b,Virtual Currency Exchange 2,0.104401,2019-08-02 17:12:20
aq,0,cluster5-33,exchange4,0.0347,2019-07-25 20:56:09
aq,1,4f010204e282cb23,cluster5-33,0.02025397,2019-07-24 01:37:57
aq,1,befb24ea15da5c55,cluster5-33,0.0279223,2019-07-25 04:31:46
aq,2,afbf4ce3435dbb27,4f010204e282cb23,0.02080207,2019-07-24 00:09:06
aq,2,058af2e3c47f1813,befb24ea15da5c55,0.08,2019-07-25 03:53:28
aq,0,567e01336041ea2f,exchange4,0.00872939,2019-07-18 06:26:47
aq,1,a8eeade17dbd40d5,567e01336041ea2f,0.00947347,2019-06-10 08:32:58
aq,1,b067123f0a75ff6f,567e01336041ea2f,0.00737805,2019-07-15 21:51:25
aq,1,6191b404b88527cb,567e01336041ea2f,0.00199705,2019-07-17 20:10:14
aq,2,Virtual Currency Exchange 1,a8eeade17dbd40d5,0.09299197,2019-06-10 08:24:39
aq,2,f2e8562c3b3f2b90,b067123f0a75ff6f,12.00035483,2019-07-15 19:35:34
aq,2,ae7f84bf009d7538,6191b404b88527cb,0.00225869,2019-07-17 20:04:48
aq,0,a9f8e6a7899620a4,exchange4,0.00678647,2019-07-18 06:26:47
