terror,level,source,target,weight,time
aq,1,00000b55c1bcbc1f,0000000e379d23b0,0.00255697,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,a7f1c2d6887fd7f8,0.03697944,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,468cfae97e5667b3,0.034,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0486ed7241daf03a,0.06095,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,exchange1,0.001,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,000021d2ca83bcd7,0.1515,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,6711f0e4806f173d,0.2995,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,06c260a5668a5334,0.3246,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,00000e4cdafa14d4,0.057885,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0a9ea1ddab973dde,0.0554467,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,131840e3a030572a,0.0227,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0a1993bef6ac5637,0.0595,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,dd04f843cef73638,0.09886592,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,8b721b29695043bc,0.49866594,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,a34fbbdaa64d8c93,0.009676,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,0000792757948b64,0.0035462,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,4d8caa07955f9570,0.024475,2019-10-23 01:52:13
aq,1,00000b55c1bcbc1f,000042ba4d27ee9d,0.4615,2019-10-23 01:52:13
aq,1,exchange4,00000b55c1bcbc1f,22.98772966,2019-10-23 04:16:34
aq,1,exchange4,exchange4,0.00955371,2019-10-23 04:16:34
aq,2,4597e99595dfb233,4d502e4e6e82a71f,3.67551097,2019-10-23 01:52:13
aq,2,02446b8f9347299f,855a176dcd6564af,6.804e-05,2019-10-27 19:27:50
aq,2,02446b8f9347299f,3d94b51a99d4b14e,0.05695715,2019-10-27 19:27:50
aq,2,a7ce454edc634817,0003abfd811c3677,0.21,2020-08-01 21:48:56
aq,2,a7ce454edc634817,40b712c1d7d67614,0.29610613,2020-08-01 21:48:56
aq,2,ac0adf9cf106fa9c,fbe99b2f5973a918,0.02326389,2019-10-23 01:58:42
aq,2,ac0adf9cf106fa9c,b6fc2cf71c7876f0,0.00365765,2019-10-23 01:58:42
aq,2,223bad496b26bb61,exchange1,1.90885868,2020-03-12 19:31:51
aq,2,bfa1a925ab6983eb,39e21c3d0147b77c,0.00519497,2019-10-23 01:58:42
aq,2,bfa1a925ab6983eb,0687c3ee3ba590a9,0.13429,2019-10-23 01:58:42
aq,2,00004290d122cf1b,00004290d122cf1b,2.67261932,2019-11-26 05:38:37
aq,2,4283a868e7f64218,80794e8d1a4eda16,0.03348657,2019-10-23 03:30:26
aq,2,4283a868e7f64218,31246e6d28d42d61,0.4327853,2019-10-23 03:30:26
aq,2,0000120db0082614,7ccf640bd78b96b7,26.22385598,2019-10-23 01:58:42
aq,2,0000120db0082614,0000120db0082614,0.00845468,2019-10-23 01:58:42
aq,2,00000b55c1bcbc1f,026483a45605220a,0.008069,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0bcd560575611ef4,1.3,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000120db0082614,0.08191838,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0e977609db5ef6a4,0.1220073,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000000e379d23b0,0.00414621,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,00008a0348567448,0.16564078,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000120db0082614,4.15691695,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,001ccce0e99caf1a,0.01,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0133f7762ca8f763,0.02444051,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,451dd0aa4752a9a0,0.0121324,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000120db0082614,2.02995907,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,00000b40082c35f0,0.559476,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,000460336e67159b,0.04156589,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,26dce2a2ec72187c,0.1342,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0057f0f5cbfbaea9,0.2748,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,d703deef7064a516,0.08067756,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,41ca17d0ce5e53c4,0.50086101,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000120db0082614,0.502095,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,c08b01856cd86b79,0.05486,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000120db0082614,0.098,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,4a7023b2c36c4bdd,0.91,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,00063e8a0cbfd5d2,0.00315834,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,39ac0bb1fbd4c859,0.33383915,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,30fdd109f62744cb,0.9,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,000004950069154a,1.0,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0005fdb69bcaa2e6,0.005,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,c02d281c05e03452,0.60878353,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,79bcef8f4ae781ce,0.01292,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,dc694910d2c2db3e,0.02096788,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000127265449357,0.00270336,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,exchange1,0.0015,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,00003d38bd48b2ad,0.00783805,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,00000b55c1bcbc1f,0.00852203,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,Virtual Currency Exchange 2,1.9995,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,000004950069154a,0.2995,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,000003e028959c0b,0.0015,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,2638cfb17aec63ff,0.039,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,d71004398a9ed477,0.0015,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0000044b60b2c25d,0.1495,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,000042ba4d27ee9d,0.00521131,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0001342d08646d8e,0.0115,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,8c841a4ec0138855,0.036,2019-10-23 03:09:34
aq,2,00000b55c1bcbc1f,0001bddfc3c81339,0.4884,2019-10-23 03:09:34
aq,2,7db515bed5dd164e,7bff9386dda44124,5.762e-05,2019-10-23 02:21:13
aq,2,7db515bed5dd164e,20897e84d3c1bc86,0.18253188,2019-10-23 02:21:13
aq,2,0000b5906fb2bc9e,26a8a13e9faac494,10.12,2019-11-05 07:57:05
aq,2,0000b5906fb2bc9e,0000b5906fb2bc9e,0.03107858,2019-11-05 07:57:05
aq,2,Virtual Currency Exchange 9,Virtual Currency Exchange 9,9.48490762,2019-10-23 02:42:30
aq,2,0002ab92fc96e506,0002ab92fc96e506,0.01055244,2019-10-25 17:53:15
aq,2,0002ab92fc96e506,000042ba4d27ee9d,0.5,2019-10-25 17:53:15
aq,2,77d034b446acfb97,b75ffee2f7b3dc3f,0.15860414,2019-10-23 22:23:12
aq,2,c9615b27c499c205,000021d2ca83bcd7,0.015,2019-10-28 23:10:28
aq,2,c9615b27c499c205,c9615b27c499c205,0.01617793,2019-10-28 23:10:28
aq,2,02e9348d445b4393,02e9348d445b4393,0.03297531,2019-12-24 19:23:02
aq,2,02e9348d445b4393,01aef93b8a4b4645,0.1,2019-12-24 19:23:02
aq,2,000042ba4d27ee9d,00000b55c1bcbc1f,61.17524666,2019-10-23 02:21:13
aq,2,000042ba4d27ee9d,000042ba4d27ee9d,0.01005655,2019-10-23 02:21:13
aq,2,000005b7a2d5d74c,99f55ae49c83c108,0.06545869,2019-10-23 03:00:02
aq,2,000005b7a2d5d74c,adcbeb17040c7b09,0.0440234,2019-10-23 03:00:02
aq,2,0eee59163ab023e1,9055c867e90a0022,0.1488405,2019-10-23 02:32:12
aq,2,11be69165b3422be,000121bd4c4eba74,0.06887714,2019-10-28 21:43:32
aq,2,11be69165b3422be,6ce1bea1b3c944d8,1.92058422,2019-10-28 21:43:32
